Order ID,Order Date,Order Priority,Order Quantity, Sales ,Discount, Profit ,Unit Price,Shipping Cost,Customer Name,Province,Region,Product Category,Product Sub-Category,Ship Date,,,,,,,,
30625,02-Aug-2010,Critical,24," $2,429 ",0.06,-$20.7,105.29,10.12,Pauline Johnson,New Brunswick,Atlantic,Furniture,Office Furnishings,02-Oct-2010,,,,,,,,
20933,26-Aug-2012,High,45," $2,079 ",0.05,-$81.6,55.99,5,Alan Hwang,New Brunswick,Atlantic,Technology,Telephones and Communication,28-Aug-2012,,,,,,,,
13767,26-Aug-2010,High,12," $2,051 ",0.05,-$381.0,218.75,69.64,Nona Balk,New Brunswick,Atlantic,Furniture,Tables,28-Aug-2010,,,,,,,,
21731,26-Nov-2011,Low,26," $1,581 ",0.08,-$750.8,60.98,49,Liz MacKendrick,New Brunswick,Atlantic,Office Supplies,Appliances,26-Nov-2011,,,,,,,,
51488,05-Feb-2010,High,31," $1,562 ",0.03,$119.9,50.98,13.66,Liz MacKendrick,New Brunswick,Atlantic,Office Supplies,Appliances,05-Mar-2010,,,,,,,,
31718,27-Nov-2010,Low,24," $1,391 ",0.03,$168.5,65.99,7.69,Nona Balk,New Brunswick,Atlantic,Technology,Telephones and Communication,12-Jan-2010,,,,,,,,
20036,12-May-2010,Not Specified,44," $1,207 ",0.03,-$25.2,26.31,5.89,John Lee,New Brunswick,Atlantic,Technology,Computer Peripherals,12-Jul-2010,,,,,,,,
54791,20-Dec-2012,High,27," $1,088 ",0.01,$514.5,39.89,3.04,Lisa DeCherney,New Brunswick,Atlantic,Furniture,Office Furnishings,21-Dec-2012,,,,,,,,
22210,19-Sep-2011,Critical,37," $1,033 ",0.1,$385.6,29.14,4.86,Tracy Collins,New Brunswick,Atlantic,Office Supplies,Paper,21-Sep-2011,,,,,,,,
31718,27-Nov-2010,Low,20," $1,017 ",0.1,-$115.3,65.99,8.99,Nona Balk,New Brunswick,Atlantic,Technology,Telephones and Communication,12-Apr-2010,,,,,,,,
21985,26-Aug-2009,Critical,45, $948 ,0.08,"-$2,175.1",20.98,53.03,Lynn Smith,New Brunswick,Atlantic,Office Supplies,Storage & Organization,28-Aug-2009,,,,,,,,
36449,09-May-2010,Not Specified,43, $928 ,0.02,$255.0,20.24,6.67,Bruce Stewart,New Brunswick,Atlantic,Furniture,Office Furnishings,09-Jul-2010,,,,,,,,
37313,07-Feb-2012,Not Specified,17, $908 ,0.07,-$71.2,65.99,8.99,Liz MacKendrick,New Brunswick,Atlantic,Technology,Telephones and Communication,07-Apr-2012,,,,,,,,
58693,21-Oct-2009,Low,50, $877 ,0,-$126.7,15.99,13.18,Bruce Stewart,New Brunswick,Atlantic,Office Supplies,Binders and Binder Accessories,25-Oct-2009,,,,,,,,
34661,20-Jan-2010,Critical,26, $864 ,0.09,-$175.5,33.98,19.99,Nathan Mautz,New Brunswick,Atlantic,Furniture,Office Furnishings,22-Jan-2010,,,,,,,,
52389,21-Oct-2011,Critical,31, $655 ,0.08,-$57.2,21.38,8.99,Justin Deggeller,New Brunswick,Atlantic,Office Supplies,Pens & Art Supplies,21-Oct-2011,,,,,,,,
59271,25-Apr-2011,Not Specified,40, $630 ,0.02,-$186.8,14.81,13.32,Lynn Smith,New Brunswick,Atlantic,Office Supplies,Appliances,26-Apr-2011,,,,,,,,
3458,21-Dec-2009,High,41, $628 ,0.03,$222.1,15.28,1.99,Lisa DeCherney,New Brunswick,Atlantic,Technology,Computer Peripherals,23-Dec-2009,,,,,,,,
12900,05-Mar-2010,High,50, $627 ,0.08,$100.0,12.64,4.98,Laurel Elliston,New Brunswick,Atlantic,Furniture,Office Furnishings,05-Apr-2010,,,,,,,,
2048,14-Nov-2010,Critical,9, $548 ,0.1,$78.6,60.97,4.5,Deanra Eno,New Brunswick,Atlantic,Office Supplies,Appliances,15-Nov-2010,,,,,,,,
18945,17-Jan-2009,Medium,33, $529 ,0.06,$168.5,16.48,1.99,John Lee,New Brunswick,Atlantic,Technology,Computer Peripherals,19-Jan-2009,,,,,,,,
30625,02-Aug-2010,Critical,37, $479 ,0.04,$10.6,12.53,7.17,Pauline Johnson,New Brunswick,Atlantic,Office Supplies,Binders and Binder Accessories,02-Aug-2010,,,,,,,,
38176,15-Aug-2010,High,48, $428 ,0.06,$74.8,9.11,2.25,Nathan Mautz,New Brunswick,Atlantic,Office Supplies,Pens & Art Supplies,17-Aug-2010,,,,,,,,
16289,17-Jul-2010,High,37, $427 ,0.09,$97.0,12.22,2.85,John Lee,New Brunswick,Atlantic,Furniture,Office Furnishings,19-Jul-2010,,,,,,,,
6402,23-Apr-2011,Low,35, $373 ,0.01,-$22.2,10.23,4.68,Nathan Mautz,New Brunswick,Atlantic,Office Supplies,"Scissors, Rulers and Trimmers",28-Apr-2011,,,,,,,,
26695,06-Jun-2010,Not Specified,43, $367 ,0.01,$163.4,8.34,1.43,Justin Deggeller,New Brunswick,Atlantic,Office Supplies,Paper,06-Aug-2010,,,,,,,,
8578,09-Feb-2011,High,40, $367 ,0.1,-$1.8,9.74,5.71,Lisa DeCherney,New Brunswick,Atlantic,Furniture,Office Furnishings,09-Mar-2011,,,,,,,,
16258,07-Jun-2011,Medium,48, $332 ,0.03,$45.3,7.08,2.35,Nona Balk,New Brunswick,Atlantic,Office Supplies,Pens & Art Supplies,07-Aug-2011,,,,,,,,
50657,18-Dec-2011,High,40, $315 ,0.01,-$305.9,7.38,11.51,Aleksandra Gannaway,New Brunswick,Atlantic,Office Supplies,Binders and Binder Accessories,19-Dec-2011,,,,,,,,
41094,01-Jun-2009,Low,46, $299 ,0.09,-$225.9,6.48,8.73,Maribeth Schnelling,New Brunswick,Atlantic,Office Supplies,Paper,01-Aug-2009,,,,,,,,
1504,27-Aug-2012,Medium,31, $293 ,0.08,$64.2,10.01,1.99,Maribeth Schnelling,New Brunswick,Atlantic,Technology,Computer Peripherals,28-Aug-2012,,,,,,,,
9669,22-Apr-2009,Medium,18, $292 ,0.04,-$92.0,15.42,10.68,Christine Abelman,New Brunswick,Atlantic,Office Supplies,Storage & Organization,23-Apr-2009,,,,,,,,
55525,05-Aug-2009,Low,1, $291 ,0.06,-$763.2,300.97,7.18,Liz MacKendrick,New Brunswick,Atlantic,Technology,Computer Peripherals,05-Aug-2009,,,,,,,,
20036,12-May-2010,Not Specified,25, $290 ,0.1,-$31.6,11.97,4.98,John Lee,New Brunswick,Atlantic,Office Supplies,Appliances,12-May-2010,,,,,,,,
40775,17-Nov-2010,Low,23, $280 ,0.07,$61.7,12.58,5.16,Liz MacKendrick,New Brunswick,Atlantic,Furniture,Office Furnishings,22-Nov-2010,,,,,,,,
47173,09-Jan-2009,Not Specified,41, $277 ,0.03,-$128.4,7.99,5.03,Aleksandra Gannaway,New Brunswick,Atlantic,Technology,Telephones and Communication,09-Mar-2009,,,,,,,,
3653,26-Mar-2009,Critical,41, $271 ,0.08,$64.8,6.68,1.5,Lynn Smith,New Brunswick,Atlantic,Office Supplies,Pens & Art Supplies,28-Mar-2009,,,,,,,,
21985,26-Aug-2009,Critical,1, $256 ,0.07,-$132.7,226.67,28.16,Lynn Smith,New Brunswick,Atlantic,Furniture,Chairs & Chairmats,27-Aug-2009,,,,,,,,
44423,29-Jul-2012,Critical,39, $249 ,0.08,-$69.3,6.28,5.29,Nona Balk,New Brunswick,Atlantic,Furniture,Office Furnishings,30-Jul-2012,,,,,,,,
58273,20-Jun-2010,High,31, $245 ,0.08,-$61.1,8.46,3.62,Liz MacKendrick,New Brunswick,Atlantic,Technology,Computer Peripherals,20-Jun-2010,,,,,,,,
14976,22-Jul-2011,High,46, $231 ,0.03,-$81.9,4.98,4.7,Quincy Jones,New Brunswick,Atlantic,Office Supplies,Paper,24-Jul-2011,,,,,,,,
38176,15-Aug-2010,High,39, $231 ,0.01,-$79.1,5.28,5.57,Nathan Mautz,New Brunswick,Atlantic,Office Supplies,Paper,16-Aug-2010,,,,,,,,
47271,28-Jul-2011,Medium,44, $221 ,0.03,-$142.0,4.98,4.62,Liz MacKendrick,New Brunswick,Atlantic,Technology,Computer Peripherals,29-Jul-2011,,,,,,,,
30626,25-Apr-2011,Critical,23, $221 ,0.1,$77.7,9.93,1.09,Nathan Mautz,New Brunswick,Atlantic,Office Supplies,Pens & Art Supplies,26-Apr-2011,,,,,,,,
57059,06-Jan-2011,Medium,50, $212 ,0.01,-$154.6,3.98,5.26,Liz MacKendrick,New Brunswick,Atlantic,Office Supplies,Binders and Binder Accessories,06-Mar-2011,,,,,,,,
48609,24-Feb-2010,High,5, $187 ,0.04,$4.2,37.44,4.27,Pauline Johnson,New Brunswick,Atlantic,Office Supplies,Pens & Art Supplies,25-Feb-2010,,,,,,,,
1796,20-Nov-2012,High,43, $183 ,0.07,-$125.4,4.13,5.04,Deanra Eno,New Brunswick,Atlantic,Office Supplies,Binders and Binder Accessories,20-Nov-2012,,,,,,,,
48609,24-Feb-2010,High,26, $176 ,0,-$103.3,6.48,7.86,Pauline Johnson,New Brunswick,Atlantic,Office Supplies,Paper,25-Feb-2010,,,,,,,,
41094,01-Jun-2009,Low,6, $159 ,0.05,-$153.5,20.34,35,Maribeth Schnelling,New Brunswick,Atlantic,Office Supplies,Storage & Organization,01-Oct-2009,,,,,,,,
27078,08-Dec-2012,Not Specified,22, $152 ,0.03,-$40.8,6.48,5.86,Nathan Mautz,New Brunswick,Atlantic,Office Supplies,Paper,13-Aug-2012,,,,,,,,
32929,05-Feb-2011,Low,13, $152 ,0.09,-$26.9,12.21,4.81,Liz MacKendrick,New Brunswick,Atlantic,Office Supplies,Storage & Organization,05-Jul-2011,,,,,,,,
55877,02-Feb-2010,Not Specified,40, $144 ,0.01,$52.9,3.08,0.99,Erin Mull,New Brunswick,Atlantic,Office Supplies,Labels,02-Apr-2010,,,,,,,,
59271,25-Apr-2011,Not Specified,23, $144 ,0.02,-$37.0,5.98,5.2,Lynn Smith,New Brunswick,Atlantic,Office Supplies,Paper,27-Apr-2011,,,,,,,,
41186,22-Nov-2010,High,13, $142 ,0.01,$54.9,9.78,1.39,Aleksandra Gannaway,New Brunswick,Atlantic,Office Supplies,Envelopes,24-Nov-2010,,,,,,,,
43745,11-Jan-2010,Low,5, $129 ,0.07,-$15.2,25.98,5.37,Laurel Elliston,New Brunswick,Atlantic,Office Supplies,Appliances,11-Aug-2010,,,,,,,,
55877,02-Feb-2010,Not Specified,19, $127 ,0.03,-$73.4,5.98,7.5,Erin Mull,New Brunswick,Atlantic,Office Supplies,Paper,02-Mar-2010,,,,,,,,
54146,18-Oct-2010,Low,3, $125 ,0.06,-$112.6,40.96,1.99,Laurel Elliston,New Brunswick,Atlantic,Technology,Computer Peripherals,23-Oct-2010,,,,,,,,
36449,09-May-2010,Not Specified,27, $123 ,0.09,-$6.7,4.71,0.7,Bruce Stewart,New Brunswick,Atlantic,Office Supplies,Rubber Bands,09-Aug-2010,,,,,,,,
21799,19-Apr-2011,Not Specified,42, $116 ,0.05,-$53.4,2.6,2.4,Lynn Smith,New Brunswick,Atlantic,Office Supplies,Pens & Art Supplies,20-Apr-2011,,,,,,,,
59171,09-Dec-2011,Medium,39, $105 ,0.08,$9.1,2.88,0.7,Phillip Breyer,New Brunswick,Atlantic,Office Supplies,Pens & Art Supplies,13-Sep-2011,,,,,,,,
10886,23-Aug-2009,Critical,36, $65 ,0.04,-$112.9,1.74,4.08,Quincy Jones,New Brunswick,Atlantic,Furniture,Office Furnishings,25-Aug-2009,,,,,,,,
50657,18-Dec-2011,High,16, $60 ,0.1,$0.9,3.71,1.93,Aleksandra Gannaway,New Brunswick,Atlantic,Office Supplies,Paper,20-Dec-2011,,,,,,,,
5378,24-Oct-2012,Critical,6, $54 ,0.01,-$12.0,6.24,5.22,Christine Abelman,New Brunswick,Atlantic,Furniture,Office Furnishings,26-Oct-2012,,,,,,,,
4739,20-Feb-2010,Low,16, $49 ,0.04,$4.2,2.94,0.7,Lynn Smith,New Brunswick,Atlantic,Office Supplies,Pens & Art Supplies,24-Feb-2010,,,,,,,,
3458,21-Dec-2009,High,28, $47 ,0.09,-$3.8,1.76,0.7,Lisa DeCherney,New Brunswick,Atlantic,Office Supplies,Pens & Art Supplies,24-Dec-2009,,,,,,,,
32929,05-Feb-2011,Low,8, $45 ,0.05,$4.8,5.68,1.39,Liz MacKendrick,New Brunswick,Atlantic,Office Supplies,Envelopes,05-Jun-2011,,,,,,,,
45924,21-Dec-2010,Low,1, $27 ,0.02,-$11.8,24.95,2.99,Laurel Elliston,New Brunswick,Atlantic,Office Supplies,Binders and Binder Accessories,26-Dec-2010,,,,,,,,
18055,02-Apr-2010,Critical,3, $20 ,0.02,-$9.6,4.98,4.75,Maribeth Schnelling,New Brunswick,Atlantic,Office Supplies,Paper,02-Jun-2010,,,,,,,,
16258,07-Jun-2011,Medium,1, $10 ,0.05,-$6.8,4.98,4.72,Nona Balk,New Brunswick,Atlantic,Office Supplies,Paper,07-Jul-2011,,,,,,,,
3808,23-Apr-2009,Critical,2, $6 ,0.08,-$2.8,2.89,0.49,Lynn Smith,New Brunswick,Atlantic,Office Supplies,Labels,23-Apr-2009,,,,,,,,
14117,25-Aug-2010,Not Specified,4, $5 ,0,-$1.5,1.14,0.7,Nathan Mautz,New Brunswick,Atlantic,Office Supplies,Rubber Bands,27-Aug-2010,,,,,,,,
43745,11-Jan-2010,Low,1, $5 ,0.04,-$4.9,3.55,1.43,Laurel Elliston,New Brunswick,Atlantic,Office Supplies,Rubber Bands,11-May-2010,,,,,,,,
4960,25-Feb-2011,Low,30," $8,364 ",0.09,$763.3,300.98,64.73,Corinna Mitchell,Newfoundland,Atlantic,Furniture,Chairs & Chairmats,03-Jan-2011,,,,,,,,
55425,11-Jan-2011,Critical,42," $4,374 ",0.04,$963.7,125.99,7.69,Paul Knutson,Newfoundland,Atlantic,Technology,Telephones and Communication,11-Feb-2011,,,,,,,,
41607,19-Dec-2009,Medium,36," $4,116 ",0.1,"$1,719.5",120.98,9.07,Barry Franz,Newfoundland,Atlantic,Office Supplies,Binders and Binder Accessories,21-Dec-2009,,,,,,,,
17157,19-Sep-2012,Low,31," $3,081 ",0.09,$575.0,125.99,4.2,Rick Duston,Newfoundland,Atlantic,Technology,Telephones and Communication,23-Sep-2012,,,,,,,,
55940,29-Apr-2009,Not Specified,29," $2,926 ",0.03,"$1,041.3",100.98,7.18,Janet Martin,Newfoundland,Atlantic,Technology,Computer Peripherals,30-Apr-2009,,,,,,,,
55815,13-Jan-2011,High,28," $2,860 ",0.04,$458.4,105.29,10.12,Cynthia Voltz,Newfoundland,Atlantic,Furniture,Office Furnishings,14-Jan-2011,,,,,,,,
38912,28-Oct-2012,Low,26," $1,515 ",0.02,$310.2,65.99,4.99,Ben Peterman,Newfoundland,Atlantic,Technology,Telephones and Communication,11-Apr-2012,,,,,,,,
24003,31-Oct-2009,Critical,50," $1,318 ",0.02,$4.7,24.98,8.79,Dan Campbell,Newfoundland,Atlantic,Office Supplies,Storage & Organization,11-Jan-2009,,,,,,,,
4647,13-May-2009,Medium,7," $1,204 ",0.03,$293.1,162.93,19.99,Carlos Meador,Newfoundland,Atlantic,Office Supplies,Envelopes,14-May-2009,,,,,,,,
25927,22-Apr-2009,Medium,43, $946 ,0.08,$105.7,22.01,5.53,Rick Duston,Newfoundland,Atlantic,Office Supplies,Pens & Art Supplies,24-Apr-2009,,,,,,,,
10338,14-Jul-2011,Not Specified,9, $800 ,0.04,$15.4,90.97,14,Barry Franz,Newfoundland,Atlantic,Technology,Office Machines,16-Jul-2011,,,,,,,,
28515,30-Jun-2010,High,33, $751 ,0,$302.1,21.38,2.99,Frank Atkinson,Newfoundland,Atlantic,Office Supplies,Binders and Binder Accessories,07-Jan-2010,,,,,,,,
10688,05-Dec-2012,Medium,14, $619 ,0.05,-$200.8,41.47,34.2,Craig Yedwab,Newfoundland,Atlantic,Furniture,Office Furnishings,13-May-2012,,,,,,,,
36294,20-Aug-2012,Medium,46, $611 ,0.04,$100.2,12.95,4.98,Yana Sorensen,Newfoundland,Atlantic,Office Supplies,Binders and Binder Accessories,22-Aug-2012,,,,,,,,
22020,17-May-2010,Critical,37, $498 ,0.01,$10.2,13.48,4.51,Harold Dahlen,Newfoundland,Atlantic,Office Supplies,Storage & Organization,18-May-2010,,,,,,,,
46177,12-May-2010,Low,33, $468 ,0.01,-$292.7,12.99,14.37,Rick Duston,Newfoundland,Atlantic,Furniture,Office Furnishings,12-May-2010,,,,,,,,
10209,29-Nov-2010,Medium,14, $462 ,0.09,-$12.0,33.98,19.99,Barry Franz,Newfoundland,Atlantic,Furniture,Office Furnishings,29-Nov-2010,,,,,,,,
37831,26-Jul-2012,Not Specified,30, $454 ,0.08,$76.6,15.98,4,Cynthia Voltz,Newfoundland,Atlantic,Technology,Computer Peripherals,28-Jul-2012,,,,,,,,
7938,13-Mar-2010,Medium,34, $335 ,0.05,$132.6,9.93,1.09,Carlos Meador,Newfoundland,Atlantic,Office Supplies,Pens & Art Supplies,14-Mar-2010,,,,,,,,
29667,24-Jul-2009,Not Specified,14, $215 ,0.09,-$51.8,15.28,10.91,Astrea Jones,Newfoundland,Atlantic,Office Supplies,Binders and Binder Accessories,25-Jul-2009,,,,,,,,
40896,09-Feb-2011,Not Specified,21, $156 ,0.03,$42.9,7.4,1.71,Tracy Poddar,Newfoundland,Atlantic,Office Supplies,Paper,09-Mar-2011,,,,,,,,
37287,11-Jan-2012,Low,45, $130 ,0.05,$0.9,2.98,1.58,Brad Thomas,Newfoundland,Atlantic,Office Supplies,Rubber Bands,11-Jun-2012,,,,,,,,
31845,22-Oct-2012,Low,11, $115 ,0.05,$28.6,10.06,2.06,Damala Kotsonis,Newfoundland,Atlantic,Office Supplies,Paper,29-Oct-2012,,,,,,,,
24003,31-Oct-2009,Critical,49, $87 ,0.06,$1.3,1.76,0.7,Dan Campbell,Newfoundland,Atlantic,Office Supplies,Pens & Art Supplies,11-Feb-2009,,,,,,,,
4647,13-May-2009,Medium,6, $75 ,0.01,-$6.6,11.58,5.72,Carlos Meador,Newfoundland,Atlantic,Office Supplies,Envelopes,15-May-2009,,,,,,,,
26243,16-Jul-2011,Low,42, $71 ,0.08,-$4.9,1.82,1,Eleni McCrary,Newfoundland,Atlantic,Office Supplies,Pens & Art Supplies,20-Jul-2011,,,,,,,,
14662,16-Nov-2011,High,24, $40 ,0.05,-$1.8,1.68,1,Karl Brown,Newfoundland,Atlantic,Office Supplies,Pens & Art Supplies,17-Nov-2011,,,,,,,,
43460,06-Nov-2012,Medium,2, $25 ,0.07,-$17.6,8.04,8.94,Astrea Jones,Newfoundland,Atlantic,Office Supplies,Binders and Binder Accessories,06-Dec-2012,,,,,,,,
39040,21-May-2009,Critical,7, $19 ,0.04,-$1.0,1.98,0.7,Astrea Jones,Newfoundland,Atlantic,Office Supplies,Rubber Bands,22-May-2009,,,,,,,,
43302,23-Aug-2011,Low,4, $9 ,0.09,-$5.1,1.95,1.63,Damala Kotsonis,Newfoundland,Atlantic,Office Supplies,Pens & Art Supplies,09-Jan-2011,,,,,,,,
6596,21-Jul-2011,Low,36," $18,028 ",0.02,"$8,157.7",500.98,28.14,Chad Sievert,Nova Scotia,Atlantic,Technology,Office Machines,26-Jul-2011,,,,,,,,
6369,19-Dec-2009,High,30," $14,922 ",0.1,$545.7,550.98,45.7,Denise Leinenbach,Nova Scotia,Atlantic,Furniture,Tables,21-Dec-2009,,,,,,,,
3654,06-Feb-2012,Low,47," $12,569 ",0.1,"$3,160.6",279.81,23.19,Karl Brown,Nova Scotia,Atlantic,Office Supplies,Appliances,06-Feb-2012,,,,,,,,
46177,12-May-2010,Low,48," $9,709 ",0.1,-$528.7,218.75,69.64,Rick Duston,Nova Scotia,Atlantic,Furniture,Tables,12-Jul-2010,,,,,,,,
26304,19-Mar-2011,Medium,43," $7,452 ",0.02,"$2,028.4",205.99,5.99,Art Ferguson,Nova Scotia,Atlantic,Technology,Telephones and Communication,20-Mar-2011,,,,,,,,
3654,06-Feb-2012,Low,39," $7,339 ",0.03,"$4,031.6",204.1,13.99,Karl Brown,Nova Scotia,Atlantic,Technology,Office Machines,06-Jul-2012,,,,,,,,
43302,23-Aug-2011,Low,39," $6,889 ",0.03,"$1,925.6",205.99,5,Damala Kotsonis,Nova Scotia,Atlantic,Technology,Telephones and Communication,30-Aug-2011,,,,,,,,
38976,25-Dec-2010,Critical,16," $6,814 ",0.09,$358.2,449.99,49,Paul Knutson,Nova Scotia,Atlantic,Technology,Copiers and Fax,26-Dec-2010,,,,,,,,
24644,28-Jul-2009,Critical,46," $5,897 ",0,"-$1,764.3",122.99,70.2,Tony Molinari,Nova Scotia,Atlantic,Furniture,Chairs & Chairmats,29-Jul-2009,,,,,,,,
50471,01-Mar-2012,Low,25," $5,859 ",0.02,"$1,358.5",226.67,28.16,Deborah Brumfield,Nova Scotia,Atlantic,Furniture,Chairs & Chairmats,01-May-2012,,,,,,,,
14406,03-Aug-2010,Medium,37," $5,611 ",0.07,"$2,366.5",150.98,13.99,Charles Sheldon,Nova Scotia,Atlantic,Technology,Office Machines,03-Oct-2010,,,,,,,,
21379,14-Jan-2011,High,35," $5,428 ",0.05,"-$1,046.8",150.89,60.2,Charles Sheldon,Nova Scotia,Atlantic,Furniture,Chairs & Chairmats,16-Jan-2011,,,,,,,,
9923,10-May-2009,High,14," $5,389 ",0.03,-$115.1,370.98,99,Chad Sievert,Nova Scotia,Atlantic,Office Supplies,Storage & Organization,10-Jun-2009,,,,,,,,
14662,16-Nov-2011,High,48," $5,140 ",0.01,"$1,275.7",125.99,8.99,Karl Brown,Nova Scotia,Atlantic,Technology,Telephones and Communication,17-Nov-2011,,,,,,,,
12228,25-Jun-2009,Not Specified,30," $5,015 ",0.05,"$1,090.4",200.99,4.2,Brad Norvell,Nova Scotia,Atlantic,Technology,Telephones and Communication,25-Jun-2009,,,,,,,,
1346,17-Jun-2012,High,48," $4,790 ",0.09,$421.2,100.98,26.22,Theone Pippenger,Nova Scotia,Atlantic,Furniture,Bookcases,19-Jun-2012,,,,,,,,
7751,23-Dec-2012,Not Specified,45," $4,548 ",0.01,-$768.1,95.98,58.2,Ann Blume,Nova Scotia,Atlantic,Furniture,Chairs & Chairmats,24-Dec-2012,,,,,,,,
59781,12-Dec-2012,Not Specified,24," $4,408 ",0.04,$329.3,180.98,30,Julia Barnett,Nova Scotia,Atlantic,Furniture,Chairs & Chairmats,13-Dec-2012,,,,,,,,
1285,31-May-2012,Critical,27," $3,874 ",0,-$306.0,130.98,54.74,Sally Matthias,Nova Scotia,Atlantic,Furniture,Bookcases,31-May-2012,,,,,,,,
14375,31-Jan-2010,Medium,50," $3,872 ",0.1,"$1,110.4",83.93,19.99,Rick Duston,Nova Scotia,Atlantic,Office Supplies,Envelopes,02-Jan-2010,,,,,,,,
58884,21-Mar-2011,Low,46," $3,732 ",0.1,"-$1,255.9",85.29,60,Chuck Clark,Nova Scotia,Atlantic,Furniture,Tables,26-Mar-2011,,,,,,,,
26276,09-Dec-2010,Low,21," $3,685 ",0,"$1,040.6",170.98,13.99,Janet Martin,Nova Scotia,Atlantic,Furniture,Office Furnishings,19-Sep-2010,,,,,,,,
31845,22-Oct-2012,Low,36," $3,645 ",0.04,$807.3,100.98,15.66,Damala Kotsonis,Nova Scotia,Atlantic,Office Supplies,Appliances,22-Oct-2012,,,,,,,,
24422,29-Dec-2011,Critical,20," $3,467 ",0.06,-$433.3,179.29,29.21,Craig Yedwab,Nova Scotia,Atlantic,Furniture,Tables,31-Dec-2011,,,,,,,,
31682,03-Sep-2010,Low,42," $3,187 ",0.09,$455.4,76.72,19.95,Carlos Meador,Nova Scotia,Atlantic,Office Supplies,Appliances,18-Mar-2010,,,,,,,,
12389,08-Apr-2009,Medium,34," $2,561 ",0.07,$671.0,80.98,7.18,Michael Granlund,Nova Scotia,Atlantic,Technology,Computer Peripherals,08-Jun-2009,,,,,,,,
14406,03-Aug-2010,Medium,35," $2,330 ",0.1,-$310.2,85.99,0.99,Charles Sheldon,Nova Scotia,Atlantic,Technology,Telephones and Communication,03-Oct-2010,,,,,,,,
57056,11-Aug-2012,Low,29," $2,186 ",0.01,"-$2,897.3",70.89,89.3,Bradley Talbott,Nova Scotia,Atlantic,Furniture,Tables,15-Nov-2012,,,,,,,,
16036,01-May-2012,Medium,28," $2,160 ",0.09,-$818.3,80.98,35,Harold Dahlen,Nova Scotia,Atlantic,Office Supplies,Storage & Organization,01-Jun-2012,,,,,,,,
58593,09-Aug-2011,Critical,29," $2,018 ",0.08,-$812.3,70.71,37.58,Ricardo Emerson,Nova Scotia,Atlantic,Furniture,Office Furnishings,09-Sep-2011,,,,,,,,
5830,24-Mar-2010,Medium,49," $2,012 ",0.07,$241.7,40.97,14.45,Shirley Jackson,Nova Scotia,Atlantic,Furniture,Office Furnishings,25-Mar-2010,,,,,,,,
